BE1001|238LY01|BENNE 10|10|SINOTRUCK|2022|14/03/2024|2|18000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10555786|LZZ5ELSD5NN959073|15/01/2027|08/05/2027|10/01/2025
BE1003|239LY01|BENNE 10|10|SINOTRUCK|2022|14/04/2023|2|18000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10555787|LZZ5ELSD3NN959069|15/01/2027|05/06/2027|16/12/2025
BE1004|242LY01|BENNE 10|10|SINOTRUCK|2022|14/04/2023|2|18000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10555790|LZZ5EL5SDXN959070|15/01/2027|08/05/2027|10/01/2025
BE1005|964JV01|BENNE 10|10|SINOTRUCK|2019|09/01/2020|2|15000|26|ORANGE|OK|OK|OK|NO|OK|OK|CG10368470|LZZ5ELSD3KA537969|15/01/2027|29/04/2026|
BE1006|966JV01|BENNE 10|10|SINOTRUCK|2019|09/01/2020|2|15000|26|ORANGE|NO|NO|NO|NO|OK|OK|CG10368422|LZZ5ELSD3KA537970|15/01/2027||
BE1007|967JV01|BENNE 10|10|SINOTRUCK|2019|09/01/2020|2|15000|26|ORANGE|OK|OK|OK|NO|OK|OK|CG10368425|LZZ5ELSD5KA537968|15/01/2027|02/05/2026|
BE1008|968JV01|BENNE 10|10|SINOTRUCK|2019|09/01/2020|2|15000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10368426|LZZ5ELSD3KA537967|15/01/2027|07/03/2026|05/02/2025
BE1009|AA103AB|BENNE 10|10|SINOTRUCK|2023|30/06/2023|2|7000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10564974|LZZ5ELSD1NN959068|15/01/2027|21/07/2025|26/04/2025
BE1010|AA104AB|BENNE 10|10|SINOTRUCK|2023|30/06/2023|2|7000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10564975|LZZ5ELSD3NN959072|15/01/2027|21/07/2025|26/04/2025
BE1201|3967KV01|BENNE 12|12|SINOTRUCK|2021|24/11/2021|2|23000|26|ORANGE|OK|NO|OK|OK|OK|OK|CG10472196|LZZ5EXSF1MN767592|15/01/2027||06/01/2026
BE1202|746KG01|BENNE 12|12|SINOTRUCK|2020|08/01/2021|2|20000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10412964|LZZ5EXSFXLW620132|15/01/2027|27/03/2026|26/12/2024
BE1203|747KG01|BENNE 12|12|SINOTRUCK|2020|08/10/2021|2|20000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10412965|LZZ5EXSF1LW620133|15/01/2027|08/05/2025|26/12/2025
BE1601|241LY01|BENNE 16|16|SINOTRUCK|2022|14/04/2023|2|24000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10555789|LZZ5EXSF1NN959113|15/01/2027|05/05/2027|05/02/2025
BE1602|240LY01|BENNE 16|16|SINOTRUCK|2022|14/04/2023|2|24000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10555788|LZZ5EXSFXNN959112|15/01/2027|08/05/2027|05/02/2025
BE1O11|AA105AB|BENNE 10|10|SINOTRUCK|2023|30/06/2023|2|7000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG1056469|LZZ5ELSD1NN959071|15/01/2027|24/07/2025|14/01/2026
CACG02|965JV01|CAMION GRUE|10|SINOTRUCK|2019|09/01/2020|2|15000|22|ORANGE|OK|OK|OK|OK|OK|OK|CG10368419|LZZ5BLMJ8KN500675|15/01/2027|02/08/2026|10/02/2025
CAGR01|2567KU01|CAMION GRUE||SINOTRUCK|2020|15/10/2021|2|15000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10466138|LZZ5BLSFSMA820192|15/01/2027|09/11/2025|04/10/2025
CAGR03|20GT01|CAMION GRUE|??|IVECO|1989|15/01/1989|2|10000|25|BLANC|OK|OK|OK|OK|OK|OK|CG10031759|ZCFA1VLJ004086643|15/01/2027|19/02/2026|04/03/2025
CAGR04|AA076ZV01|CAMION GRUE||SINOTRUCK|2025|08/10/2025||||||||||||LZZ5BXNF6SN093022|15/01/2027||
CAMI01|2958KX01|CAMIONETTE|4|??|2021|04/01/2022|7|3430|||OK|OK|OK|OK|OK|OK|CG1048399||15/01/2027||
CAMI02|AA877JG|CAMIONETTE|4|JMC|2024|17/09/2024|2|4000|10|BLANC|OK|OK|OK|OK|OK|OK|CG10593515|LEFAECG3XRHN13635|15/01/2027|Na|17/09/2025
CAMI03|AA887JG01|CAMIONETTE|4|JMC|2023|17/09/2024|2|4000|10|BLANC|OK|OK|OK|OK|OK|OK|CG10626933|LEFAECG31RHN13636|15/01/2027|Na|17/06/2025
CAMI04|5233HY01|CAMIONETTE|4|NISSAN|2007|15/07/2007|5|1540|19|NOIR|OK|NO DEFINE||OK|NO|NO|CG10260344|1N6AD07W27C433392|15/01/2027||
CAMI05|3092KX01|PICKUP|4|MAZDA|2022|01/04/2022|5|1850|12|NOIR|OK|NO DEFINE|NO|OK|OK|OK|CG10498235|MM7UR4DF1NW144646|15/01/2027|NO DEFINE|02/07/2026
CAMI06|288FR01|CAMIONETTE|4|RENAULT||||||BLANC|NO|NO|NO|NO|NO||||15/01/2027||
CAMI07|AA589TY01|CAMION RAVITAILLEUR|4|SINOTRUCK|2025|05/09/2025|2|10000|12|BLANC|NO|NO|NO|NO|NO||CG10678654|LEZAD1EC4RF127382|15/01/2027||
CARV01|2466KH01|CAMION RAVITAILLEUR||JMC|2020|11/02/2021|2|4000|10|BLANC|OK|OK|OK|OK|OK|OK|CG1048557|LEFAECG30LHN51074|15/01/2027|06/11/2025|28/02/2025
CITEAU01|4321LE01|CITERNE A EAU||SINOTRUCK|2022|02/06/2022|2|21000|26|ORANGE|OK|OK|OK|OK|OK|OK|CG10498785|LZZ5BXSF9MN944494|15/01/2027|13/06/2026|28/06/2025
